year,region,location_type,Total number of businesses,Total revenue,avg_revenue_per_business,estimated_profit
2017,Prince Edward Island,Rural and small town area,3589.0,423500.0,117.99944274171078,17.699916411256616
2017,Québec,Functional urban area,334053.0,392500.0,1.174963254333893,0.17624448815008395
2017,Québec,Rural and small town area,75358.0,431900.0,5.731309217335917,0.8596963826003875
2017,Saskatchewan,Functional urban area,35827.0,446300.0,12.457085438356547,1.868562815753482
2017,Saskatchewan,Rural and small town area,24395.0,525400.0,21.53720024595204,3.230580036892806
2017,Territories,Functional urban area,2891.0,472700.0,163.5074368730543,24.526115530958144
2017,Territories,Rural and small town area,1474.0,636900.0,432.089552238806,64.81343283582089
2017,Yukon,Functional urban area,1889.0,429800.0,227.52779248279512,34.129168872419264
2017,Yukon,Rural and small town area,422.0,521700.0,1236.255924170616,185.4383886255924
2018,Alberta,Functional urban area,213344.0,406500.0,1.9053734813259338,0.28580602219889006
2018,Alberta,Rural and small town area,53650.0,460600.0,8.585274930102516,1.2877912395153774
2018,Atlantic Region,Functional urban area,57961.0,448800.0,7.743137627025068,1.16147064405376
2018,Atlantic Region,Rural and small town area,37719.0,408700.0,10.83538800074233,1.6253082001113495
2018,British Columbia,Functional urban area,287952.0,400500.0,1.3908568094682447,0.20862852142023672
2018,British Columbia,Rural and small town area,34268.0,383600.0,11.194116960429556,1.6791175440644333
2018,Canada,Functional urban area,1665545.0,398100.0,0.23902086103947956,0.03585312915592193
2018,Canada,Rural and small town area,310033.0,443500.0,1.430492883015679,0.21457393245235182
2018,Manitoba,Functional urban area,39632.0,444200.0,11.208114654824385,1.6812171982236577
2018,Manitoba,Rural and small town area,15871.0,510200.0,32.146682628693846,4.822002394304077
2018,New Brunswick,Functional urban area,17803.0,463400.0,26.029320900971747,3.9043981351457617
2018,New Brunswick,Rural and small town area,11310.0,454000.0,40.14146772767462,6.021220159151193
2018,Newfoundland and Labrador,Functional urban area,10824.0,471900.0,43.59756097560975,6.539634146341463
2018,Newfoundland and Labrador,Rural and small town area,9305.0,378400.0,40.666308436324556,6.099946265448684
2018,Northwest Territories,Functional urban area,1017.0,579300.0,569.6165191740413,85.4424778761062
2018,Northwest Territories,Rural and small town area,557.0,614400.0,1103.052064631957,165.45780969479353
2018,Nova Scotia,Functional urban area,24645.0,429200.0,17.41529722053155,2.6122945830797324
2018,Nova Scotia,Rural and small town area,14022.0,394900.0,28.162886892026815,4.224433033804022
2018,Nunavut,Rural and small town area,497.0,691700.0,1391.7505030181087,208.7625754527163
2018,Ontario,Functional urban area,679602.0,386700.0,0.5690095085064494,0.08535142627596741
2018,Ontario,Rural and small town area,65646.0,441200.0,6.72089693202937,1.0081345398044055
2018,Prairies Region,Functional urban area,289882.0,416900.0,1.4381713938775087,0.2157257090816263
2018,Prairies Region,Rural and small town area,93619.0,483400.0,5.163481771862549,0.7745222657793823
2018,Prince Edward Island,Functional urban area,4689.0,443600.0,94.6043932608232,14.19065898912348
2018,Prince Edward Island,Rural and small town area,3082.0,396700.0,128.71512005191434,19.30726800778715
2018,Québec,Functional urban area,347148.0,393500.0,1.1335223017272171,0.17002834525908256
2018,Québec,Rural and small town area,77295.0,437400.0,5.658839510964487,0.848825926644673
2018,Saskatchewan,Functional urban area,36906.0,448000.0,12.13894759659676,1.8208421394895138
2018,Saskatchewan,Rural and small town area,24098.0,516500.0,21.433313967964146,3.214997095194622
2018,Territories,Functional urban area,3000.0,476900.0,158.96666666666667,23.845
2018,Territories,Rural and small town area,1486.0,609100.0,409.8923283983849,61.48384925975773
2018,Yukon,Functional urban area,1964.0,427600.0,217.71894093686353,32.65784114052953
2018,Yukon,Rural and small town area,432.0,507200.0,1174.0740740740741,176.11111111111111
2019,Alberta,Functional urban area,215904.0,404700.0,1.874444197421076,0.28116662961316136
2019,Alberta,Rural and small town area,52748.0,461200.0,8.74345946765754,1.311518920148631
2019,Atlantic Region,Functional urban area,58478.0,451000.0,7.712302062314032,1.1568453093471047
2019,Atlantic Region,Rural and small town area,38391.0,416400.0,10.846292099710869,1.6269438149566302
2019,British Columbia,Functional urban area,298417.0,394700.0,1.3226458278181203,0.19839687417271804
2019,British Columbia,Rural and small town area,34622.0,382800.0,11.056553636416151,1.6584830454624226
2019,Canada,Functional urban area,1718653.0,394300.0,0.22942385693912618,0.034413578540868926
2019,Canada,Rural and small town area,312452.0,445900.0,1.4270992024374944,0.21406488036562416
2019,Manitoba,Functional urban area,40501.0,441300.0,10.896027258586209,1.6344040887879312
2019,Manitoba,Rural and small town area,15779.0,508800.0,32.24538944166297,4.836808416249446
2019,New Brunswick,Functional urban area,17976.0,468700.0,26.07365376056965,3.9110480640854473
2019,New Brunswick,Rural and small town area,11327.0,466500.0,41.18477972984903,6.177716959477355
2019,Newfoundland and Labrador,Functional urban area,10736.0,473200.0,44.076005961251866,6.6114008941877795
2019,Newfoundland and Labrador,Rural and small town area,9356.0,374700.0,40.049166310389055,6.007374946558358
2019,Northwest Territories,Functional urban area,1030.0,563400.0,546.9902912621359,82.04854368932038
2019,Northwest Territories,Rural and small town area,526.0,644800.0,1225.855513307985,183.87832699619773
2019,Nova Scotia,Functional urban area,25282.0,429300.0,16.9804604066134,2.5470690609920097
2019,Nova Scotia,Rural and small town area,14301.0,402600.0,28.15187749108454,4.222781623662681
2019,Nunavut,Rural and small town area,495.0,678400.0,1370.5050505050506,205.5757575757576
2019,Ontario,Functional urban area,707592.0,380800.0,0.5381632353107441,0.08072448529661161
2019,Ontario,Rural and small town area,66376.0,441300.0,6.6484874050861755,0.9972731107629262
2019,Prairies Region,Functional urban area,293966.0,414600.0,1.4103671853207513,0.2115550777981127
2019,Prairies Region,Rural and small town area,92672.0,484000.0,5.2227209944751385,0.7834081491712708
2019,Prince Edward Island,Functional urban area,4484.0,449900.0,100.33452274754683,15.050178412132023
2019,Prince Edward Island,Rural and small town area,3407.0,422500.0,124.00939242735545,18.601408864103316
2019,Québec,Functional urban area,357146.0,393900.0,1.1029102943894094,0.16543654415841139
2019,Québec,Rural and small town area,78956.0,443600.0,5.6183190637823595,0.8427478595673539
2019,Saskatchewan,Functional urban area,37561.0,442200.0,11.772849498149677,1.7659274247224515
2019,Saskatchewan,Rural and small town area,24145.0,517800.0,21.44543383723338,3.216815075585007
2019,Territories,Functional urban area,3054.0,479900.0,157.1381794368042,23.570726915520627
2019,Territories,Rural and small town area,1435.0,624700.0,435.33101045296166,65.29965156794425
2019,Yukon,Functional urban area,2005.0,440500.0,219.70074812967582,32.95511221945137
2019,Yukon,Rural and small town area,414.0,534800.0,1291.7874396135267,193.768115942029
2020,Alberta,Functional urban area,203536.0,406546.0,1.9974156905903624,0.29961235358855437
2020,Alberta,Rural and small town area,50063.0,470686.0,9.401873639214589,1.4102810458821884
2020,Atlantic Region,Functional urban area,55904.0,460446.0,8.236369490555237,1.2354554235832855
2020,Atlantic Region,Rural and small town area,36344.0,423654.0,11.65677966101695,1.7485169491525425
2020,British Columbia,Functional urban area,287788.0,399900.0,1.3895645405645822,0.20843468108468732
2020,British Columbia,Rural and small town area,32546.0,387090.0,11.89362748110367,1.7840441221655503
2020,Canada,Functional urban area,1635056.0,399764.0,0.2444956013738979,0.036674340206084684
2020,Canada,Rural and small town area,299533.0,462080.0,1.5426680866548927,0.2314002129982339
2020,Manitoba,Functional urban area,38992.0,445653.0,11.429344480919163,1.7144016721378743
2020,Manitoba,Rural and small town area,15332.0,531194.0,34.64609966084007,5.19691494912601
2020,New Brunswick,Functional urban area,17330.0,480117.0,27.704385458742067,4.15565781881131
2020,New Brunswick,Rural and small town area,10963.0,469644.0,42.83900392228404,6.425850588342606
2020,Newfoundland and Labrador,Functional urban area,10064.0,478247.0,47.52056836248013,7.128085254372019
2020,Newfoundland and Labrador,Rural and small town area,8357.0,396129.0,47.400861553188946,7.110129232978342
2020,Northwest Territories,Functional urban area,959.0,536569.0,559.5088633993744,83.92632950990615
2020,Northwest Territories,Rural and small town area,499.0,647285.0,1297.1643286573146,194.5746492985972
2020,Nova Scotia,Functional urban area,24152.0,441072.0,18.26233852268963,2.7393507784034448
2020,Nova Scotia,Rural and small town area,13614.0,402993.0,29.60136624063464,4.440204936095196
2020,Nunavut,Rural and small town area,462.0,722038.0,1562.8528138528138,234.42792207792206
2020,Ontario,Functional urban area,672149.0,384987.0,0.5727703232467801,0.08591554848701702
2020,Ontario,Rural and small town area,64026.0,457596.0,7.1470340174304186,1.0720551026145628
2020,Prairies Region,Functional urban area,278759.0,417145.0,1.4964359895106525,0.22446539842659788
2020,Prairies Region,Rural and small town area,88910.0,506595.0,5.697840512878192,0.8546760769317288
2020,Prince Edward Island,Functional urban area,4358.0,448491.0,102.91211564938045,15.436817347407068
2020,Prince Edward Island,Rural and small town area,3410.0,425737.0,124.84956011730205,18.727434017595307
2020,Québec,Functional urban area,337520.0,403959.0,1.1968446314292487,0.17952669471438729
2020,Québec,Rural and small town area,76369.0,461381.0,6.041469706294439,0.9062204559441658
2020,Saskatchewan,Functional urban area,36231.0,446005.0,12.310038364936105,1.8465057547404156
2020,Saskatchewan,Rural and small town area,23515.0,567005.0,24.11248139485435,3.616872209228152
2020,Territories,Functional urban area,2936.0,481742.0,164.08106267029973,24.612159400544957
2020,Territories,Rural and small town area,1338.0,626309.0,468.093423019432,70.2140134529148
2020,Yukon,Functional urban area,1963.0,457579.0,233.1018848700968,34.96528273051452
2020,Yukon,Rural and small town area,377.0,481233.0,1276.4801061007959,191.47201591511939
2021,Alberta,Functional urban area,211756.0,421669.0,1.9912965866374506,0.2986944879956176
2021,Alberta,Rural and small town area,50528.0,499140.0,9.878483217226092,1.4817724825839138
2021,Atlantic Region,Functional urban area,59544.0,471560.0,7.919521698239957,1.1879282547359935
2021,Atlantic Region,Rural and small town area,39352.0,443322.0,11.265551941451514,1.6898327912177271
2021,British Columbia,Functional urban area,309326.0,414339.0,1.3394897292823753,0.20092345939235629
2021,British Columbia,Rural and small town area,35171.0,405676.0,11.5343891274061,1.730158369110915
2021,Canada,Functional urban area,1744953.0,408800.0,0.23427565097741887,0.03514134764661283
2021,Canada,Rural and small town area,315221.0,484327.0,1.5364680652621494,0.2304702097893224
2021,Manitoba,Functional urban area,41962.0,452477.0,10.783017968638292,1.6174526952957438
2021,Manitoba,Rural and small town area,15853.0,563571.0,35.54980129943859,5.332470194915788
2021,New Brunswick,Functional urban area,18214.0,487136.0,26.745141100252553,4.0117711650378824
2021,New Brunswick,Rural and small town area,11288.0,501591.0,44.435772501771794,6.665365875265769
2021,Newfoundland and Labrador,Functional urban area,10589.0,494328.0,46.68316177164983,7.002474265747474
2021,Newfoundland and Labrador,Rural and small town area,9798.0,393644.0,40.17595427638294,6.026393141457441
2021,Northwest Territories,Functional urban area,1007.0,548319.0,544.5074478649453,81.6761171797418
2021,Northwest Territories,Rural and small town area,497.0,716520.0,1441.6901408450703,216.25352112676055
2021,Nova Scotia,Functional urban area,26003.0,453256.0,17.43091181786717,2.6146367726800754
2021,Nova Scotia,Rural and small town area,14545.0,427905.0,29.41938810587831,4.412908215881746
2021,Nunavut,Rural and small town area,471.0,772697.0,1640.5456475583865,246.08184713375795
2021,Ontario,Functional urban area,722608.0,390016.0,0.5397338529327104,0.08096007793990655
2021,Ontario,Rural and small town area,68203.0,474696.0,6.9600457457883085,1.0440068618682463
2021,Prairies Region,Functional urban area,291946.0,431727.0,1.4787905982613223,0.22181858973919835
2021,Prairies Region,Rural and small town area,90383.0,539676.0,5.970990119823418,0.8956485179735127
2021,Prince Edward Island,Functional urban area,4738.0,461254.0,97.3520472773322,14.60280709159983
2021,Prince Edward Island,Rural and small town area,3721.0,457626.0,122.98468153722118,18.447702230583175
2021,Québec,Functional urban area,358400.0,412150.0,1.1499720982142858,0.17249581473214287
2021,Québec,Rural and small town area,80741.0,481574.0,5.964429472015457,0.8946644208023186
2021,Saskatchewan,Functional urban area,38228.0,464661.0,12.154991105995606,1.8232486658993408
2021,Saskatchewan,Rural and small town area,24002.0,609228.0,25.38238480126656,3.8073577201899838
2021,Territories,Functional urban area,3129.0,482093.0,154.07254713966122,23.110882070949184
2021,Territories,Rural and small town area,1371.0,671487.0,489.77899343544857,73.46684901531728
2021,Yukon,Functional urban area,2107.0,452841.0,214.922164214523,32.23832463217845
2021,Yukon,Rural and small town area,403.0,497663.0,1234.8957816377172,185.23436724565758
2022,Alberta,Functional urban area,221144.0,429600.0,1.9426256195058424,0.29139384292587633
2022,Alberta,Rural and small town area,52379.0,519100.0,9.91046029897478,1.486569044846217
2022,Atlantic Region,Functional urban area,63016.0,474800.0,7.534594388726672,1.130189158309001
2022,Atlantic Region,Rural and small town area,40333.0,444000.0,11.008355440954057,1.6512533161431084
2022,British Columbia,Functional urban area,329395.0,413300.0,1.2547245708040498,0.18820868562060747
2022,British Columbia,Rural and small town area,35194.0,406800.0,11.558788429845997,1.7338182644768996
2022,Canada,Functional urban area,1870479.0,409400.0,0.21887441666011753,0.03283116249901763
2022,Canada,Rural and small town area,320585.0,493700.0,1.5399971926322191,0.23099957889483286
2022,Manitoba,Functional urban area,43888.0,462300.0,10.533631060882247,1.580044659132337
2022,Manitoba,Rural and small town area,15724.0,584800.0,37.191554311879926,5.578733146781989
2022,New Brunswick,Functional urban area,18953.0,488400.0,25.769007544979686,3.865351131746953
2022,New Brunswick,Rural and small town area,11593.0,502800.0,43.37099974122315,6.505649961183472
2022,Newfoundland and Labrador,Functional urban area,10521.0,502600.0,47.771124417831004,7.16566866267465
2022,Newfoundland and Labrador,Rural and small town area,10586.0,390300.0,36.86945021726809,5.530417532590213
2022,Northwest Territories,Functional urban area,1008.0,538000.0,533.7301587301587,80.0595238095238
2022,Northwest Territories,Rural and small town area,512.0,683100.0,1334.1796875,200.126953125
2022,Nova Scotia,Functional urban area,28597.0,455100.0,15.914256740217505,2.3871385110326258
2022,Nova Scotia,Rural and small town area,14186.0,431300.0,30.403214436768646,4.560482165515297
2022,Nunavut,Rural and small town area,467.0,781200.0,1672.8051391862955,250.9207708779443
2022,Ontario,Functional urban area,789623.0,386400.0,0.48934744808598535,0.0734021172128978
2022,Ontario,Rural and small town area,70466.0,481200.0,6.828825249056282,1.0243237873584423
2022,Prairies Region,Functional urban area,304659.0,440300.0,1.4452223633636294,0.21678335450454442
2022,Prairies Region,Rural and small town area,92077.0,556600.0,6.044940647501548,0.9067410971252321
2022,Prince Edward Island,Functional urban area,4945.0,477900.0,96.64307381193125,14.496461071789685
2022,Prince Edward Island,Rural and small town area,3968.0,460100.0,115.95262096774194,17.39289314516129
2022,Québec,Functional urban area,380571.0,417600.0,1.0972985329938434,0.1645947799490765
2022,Québec,Rural and small town area,81076.0,492700.0,6.077014159553999,0.9115521239330997
2022,Saskatchewan,Functional urban area,39627.0,476200.0,12.017059075882605,1.8025588613823906
2022,Saskatchewan,Rural and small town area,23974.0,619900.0,25.857178610161007,3.878576791524151
2022,Territories,Functional urban area,3215.0,475500.0,147.900466562986,22.1850699844479
2022,Territories,Rural and small town area,1439.0,664200.0,461.5705350938151,69.23558026407227
2022,Yukon,Functional urban area,2199.0,448300.0,203.86539336061847,30.57980900409277
2022,Yukon,Rural and small town area,460.0,524400.0,1140.0,171.0
