"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Rural Canada Business Profile, total revenue and other revenue variables of small businesses by industry, location indicator and incorporation status; profit margin-based calculations","33100584",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310058401",,"CURRENT - a cube available to the public and that is current","Annual","2017-01-01","2022-01-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Industry Classification System (NAICS)",,""
"3","Location indicator",,""
"4","Incorporation status",,""
"5","Business characteristics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"5","All other revenues (percentage of total revenue)","","34","","",1;2;3,
"5","All other revenues (percentage of total revenue), first quartile","","35","","",1;2;3,
"5","All other revenues (percentage of total revenue), second quartile","","36","","",1;2;3,
"5","All other revenues (percentage of total revenue), third quartile","","37","","",1;2;3,
"5","All other revenues (percentage of total revenue), fourth quartile","","38","","",1;2;3,
"5","Total number of businesses","","1","","",1;2,
"5","All businesses, minimum revenue value","","2","","",1;2,
"5","All businesses, maximum revenue value","","3","","",1;2,
"5","Businesses in first quartile, minimum value in revenue range","","4","","",1;2,
"5","Businesses in first quartile, maximum value in revenue range","","5","","",1;2,
"5","Businesses in second quartile, minimum value in revenue range","","6","","",1;2,
"5","Businesses in second quartile, maximum value in revenue range","","7","","",1;2,
"5","Businesses in third quartile, minimum value in revenue range","","8","","",1;2,
"5","Businesses in third quartile, maximum value in revenue range","","9","","",1;2,
"5","Businesses in fourth quartile, minimum value in revenue range","","10","","",1;2,
"5","Businesses in fourth quartile, maximum value in revenue range","","11","","",1;2,
"5","Total revenue","","12","","",1;2,
"5","Total revenue, first quartile","","13","","",1;2,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5028","Financial Performance Data"

"Subject Code","Subject Name"
"33","Business performance and ownership"

"Note ID",Note
1,"Data includes enterprises reporting annual total revenues of $30,000 to $5,000,000, inclusively."
2,"Calculations are profit margin based."
3,"Available for incorporated businesses only."

"Correction ID","Correction Date","Correction Note"
